"","X","COSMIC_ID","sample_name","sample_id","model_id","model_name","patient_id","BROAD_ID","CCLE_ID","tissue_descriptor_1","tissue_descriptor_2","tissue_descriptor","tissue","tissue_status","sample_site","cancer_type","cancer_type_passports","gender","ethnicity","age_at_sampling","family_history_of_cancer","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","GDSC_1000","whole_exome_seq","cna","gene_expression","methylation","drug_response"
"182",1106,906872,"GI-ME-N","SIDS00596","SIDM00227","GI-ME-N","SIDP00526","ACH-001344","GIMEN_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Female","White",2,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"183",1219,908440,"NB69","SIDS00694","SIDM00244","NB69","SIDP00620","ACH-002083","NB69_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Tumour","Unknown","NB","Neuroblastoma","Male","Unknown",1.33,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"184",1339,910567,"CHP-126","SIDS00653","SIDM00286","CHP-126","SIDP00582","ACH-000136","CHP126_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Tumour","Unknown","NB","Neuroblastoma","Female","Unknown",1.17,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"185",1443,946363,"KP-N-YS","SIDS00628","SIDM00157","KP-N-YS","SIDP00557","ACH-002261","KPNYS_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Unknown","Unknown","NB","Neuroblastoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","N","Y","Y"
"186",1461,949171,"NB10","SIDS00718","SIDM00259","NB10","SIDP00642","ACH-002278","NB10_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Male","Unknown",2,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"187",1462,949172,"NB12","SIDS00719","SIDM00258","NB12","SIDP00643","ACH-002279","NB12_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Female","Unknown",0.1,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"188",1463,949173,"NB6","SIDS00724","SIDM00253","NB6","SIDP00648","ACH-002284","NB6_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"189",1464,949174,"NB7","SIDS00725","SIDM00156","NB7","SIDP00649","ACH-002285","NB7_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Male","Unknown",0.07,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"190",1465,949175,"NB17","SIDS00722","SIDM00255","NB17","SIDP00646","ACH-002282","NB17_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Female","Unknown",1,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"191",1466,949176,"NB5","SIDS00723","SIDM00254","NB5","SIDP00647","ACH-002283","NB5_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Female","Unknown",2,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"192",1467,949177,"NB13","SIDS00720","SIDM00257","NB13","SIDP00644","ACH-002280","NB13_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Male","Unknown",1,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"193",1468,949178,"NB14","SIDS00721","SIDM00256","NB14","SIDP00645","ACH-002281","NB14_AUTONOMIC_GANGLIA","neuroblastoma","neuroblastoma","neuroblastoma","Peripheral Nervous System","Metastasis","Unknown","NB","Neuroblastoma","Female","Unknown",1,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"194",1408,924111,"HO-1-N-1","SIDS00966","SIDM00592","HO-1-N-1","SIDP00864","ACH-002244","HO1N1_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Buccal mucosa","HNSC","Oral Cavity Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"195",601,1240196,"OSC-20","SIDS01032","SIDM00565","OSC-20","SIDP00926","ACH-001626","OSC20_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Metastasis","Cervical lymph node","HNSC","Oral Cavity Carcinoma","Female","East Asian",59,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"196",542,1240121,"BICR22","SIDS00939","SIDM00485","BICR22","SIDP00839","ACH-000794","BICR22_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Metastasis","Lymph node","HNSC","Oral Cavity Carcinoma","Male","White",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"197",697,1298362,"OSC-19","SIDS01031","SIDM00566","OSC-19","SIDP00925","ACH-001625","OSC19_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Metastasis","Lymph Node","HNSC","Oral Cavity Carcinoma","Male","East Asian",61,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"198",943,753562,"HSC-2","SIDS00968","SIDM00590","HSC-2","SIDP00866","ACH-000472","HSC2_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Mouth","HNSC","Oral Cavity Carcinoma","Male","Unknown",69,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"199",942,753561,"HO-1-u-1","SIDS00967","SIDM00591","HO-1-u-1","SIDP00865","ACH-002045","HO1U1_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Mouth floor","HNSC","Oral Cavity Carcinoma","Male","Unknown",72,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"200",543,1240122,"BICR78","SIDS00940","SIDM00501","BICR78","SIDP00840","ACH-001332","BICR78_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Oral Aveolus","HNSC","Oral Cavity Carcinoma","Male","White",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"201",709,1299050,"SAT","SIDS01052","SIDM00350","SAT","SIDP00945","ACH-001641","SAT_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Oral cavity","HNSC","Head and Neck Carcinoma","Unknown","East Asian",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"202",681,1298215,"KON","SIDS00993","SIDM00604","KON","SIDP00890","ACH-001542","KON_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Oral floor","HNSC","Oral Cavity Carcinoma","Male","East Asian",76,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"203",930,753538,"Ca9-22","SIDS00952","SIDM00489","Ca9-22","SIDP00852","ACH-002043","CA922_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Oral, gingiva","HNSC","Oral Cavity Carcinoma","Male","East Asian",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"204",1098,906863,"FADU","SIDS00119","SIDM00860","FADU","SIDP00095","ACH-000846","FADU_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Pharynx","HNSC","Head and Neck Carcinoma","Male","White",56,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"205",1081,906837,"Detroit562","SIDS00018","SIDM00831","Detroit562","SIDP00014","ACH-000207","DETROIT562_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Metastasis","Pleural Effusion","HNSC","Head and Neck Carcinoma","Female","White",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"206",611,1240207,"PE/CA-PJ15","SIDS00929","SIDM00473","PE-CA-PJ15","SIDP00832","ACH-000619","PECAPJ15_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",45,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"207",711,1299052,"SCC90","SIDS01153","SIDM00399","SCC90","SIDP01040","ACH-002315","SCC90_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Metastasis","Tongue","HNSC","Head and Neck Carcinoma","Male","White",44,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","N","Y"
"208",931,753541,"CAL-33","SIDS00472","SIDM00942","CAL-33","SIDP00409","ACH-000518","CAL33_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",69,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"209",1127,907061,"HSC-3","SIDS00969","SIDM00589","HSC-3","SIDP00867","ACH-000778","HSC3_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",64,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"210",1128,907062,"HSC-4","SIDS00970","SIDM00588","HSC-4","SIDP00868","ACH-000546","HSC4_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","East Asian",64,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"211",1272,909708,"SAS","SIDS01051","SIDM00351","SAS","SIDP00944","ACH-002029","SAS_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Female","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"212",1273,909709,"SCC-9","SIDS00354","SIDM01080","SCC-9","SIDP00299","ACH-000181","SCC9_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",25,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"213",1351,910701,"SCC-25","SIDS00352","SIDM01082","SCC-25","SIDP00297","ACH-000188","SCC25_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",70,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"214",1369,910904,"SCC-4","SIDS00353","SIDM01081","SCC-4","SIDP00298","ACH-000238","SCC4_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",55,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"215",1374,910911,"SCC-15","SIDS00351","SIDM01083","SCC-15","SIDP00296","ACH-000254","SCC15_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",55,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"216",1376,910916,"CAL-27","SIDS00470","SIDM00937","CAL-27","SIDP00407","ACH-000832","CAL27_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","Unknown",56,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"217",1390,910936,"DOK","SIDS00902","SIDM00540","DOK","SIDP00805","ACH-002234","DOK_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Tongue","HNSC","Oral Cavity Carcinoma","Male","White",57,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"218",578,1240161,"JHU-011","SIDS00809","SIDM00128","JHU-011","SIDP00722","ACH-002249","JHU011_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"219",579,1240162,"JHU-022","SIDS00810","SIDM00127","JHU-022","SIDP00723","ACH-002250","JHU022_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Oral Cavity Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"220",608,1240204,"PCI-15A","SIDS00726","SIDM00270","PCI-15A","SIDP00650","ACH-002294","PCI15A_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"221",610,1240206,"PCI-6A","SIDS00728","SIDM00115","PCI-6A","SIDP00652","ACH-002298","PCI6A_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"222",632,1290724,"BICR10","SIDS00803","SIDM00077","BICR10","SIDP00716","ACH-001331","BICR10_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Unknown","HNSC","Oral Cavity Carcinoma","Female","White",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"223",633,1290725,"BICR31","SIDS00804","SIDM00078","BICR31","SIDP00717","ACH-000228","BICR31_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Unknown","HNSC","Oral Cavity Carcinoma","Male","White",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"224",675,1298156,"JHU-029","SIDS00175","SIDM00690","JHU-029","SIDP00140","ACH-002251","JHU029_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","N","Y"
"225",703,1298529,"PCI-30","SIDS00739","SIDM00044","PCI-30","SIDP00663","ACH-002295","PCI30_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"226",704,1298531,"PCI-4B","SIDS00740","SIDM00043","PCI-4B","SIDP00664","ACH-002297","PCI4B_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"227",712,1299059,"SKN-3","SIDS01066","SIDM00375","SKN-3","SIDP00956","ACH-002305","SKN3_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Unknown","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"228",925,753531,"BB30-HNC","SIDS00629","SIDM00172","BB30-HNC","SIDP00558","ACH-002212","BB30HNC_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Female","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"229",926,753532,"BB49-HNC","SIDS00630","SIDM00174","BB49-HNC","SIDP00559","ACH-002213","BB49HNC_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Unknown","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"230",928,753535,"BHY","SIDS00459","SIDM00986","BHY","SIDP00396","ACH-000548","BHY_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Unknown","HNSC","Head and Neck Carcinoma","Male","East Asian",52,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"231",949,753570,"KOSC-2","SIDS00994","SIDM00603","KOSC-2","SIDP00891","ACH-002260","KOSC2_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Tumour","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",51,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"232",960,753583,"LB771-HNC","SIDS00641","SIDM00182","LB771-HNC","SIDP00570","ACH-002265","LB771HNC_UPPER_AERODIGESTIVE_TRACT","aero_dig_tract","head and neck","aero_dig_tract","Head and Neck","Unknown","Unknown","HNSC","Head and Neck Carcinoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"233",1421,925339,"MMAC-SF","SIDS00692","SIDM01242","MMAc-SF","SIDP00618","ACH-002162","MMACSF_SKIN","skin","melanoma","skin","Skin","Metastasis","Ascites","SKCM","Melanoma","Female","East Asian",39,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"234",1063,906814,"COLO-792","SIDS00836","SIDM00140","COLO-792","SIDP00745","ACH-000968","COLO792_SKIN","skin","melanoma","skin","Skin","Metastasis","Brain","SKCM","Melanoma","Male","Unknown",62,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"235",1435,930301,"VMRC-MELG","SIDS01084","SIDM00319","VMRC-MELG","SIDP00973","ACH-001704","VMRCMELG_SKIN","skin","melanoma","skin","Skin","Metastasis","Colon","SKCM","Melanoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","N","N","Y"
"236",570,1240153,"IGR-37","SIDS00527","SIDM01066","IGR-37","SIDP00463","ACH-000650","IGR37_SKIN","skin","melanoma","skin","Skin","Metastasis","Groin lymph node","SKCM","Melanoma","Male","Unknown",26,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"237",1139,907169,"IGR-1","SIDS00533","SIDM01060","IGR-1","SIDP00468","ACH-000882","IGR1_SKIN","skin","melanoma","skin","Skin","Metastasis","Groin lymph node","SKCM","Melanoma","Male","Unknown",42,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"238",1387,910932,"GAK","SIDS00957","SIDM00543","GAK","SIDP00857","ACH-002120","GAK_SKIN","skin","melanoma","skin","Skin","Metastasis","Inguinal lymph node","SKCM","Melanoma","Female","East Asian",86,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"239",1270,909706,"RVH-421","SIDS01151","SIDM00401","RVH-421","SIDP01038","ACH-000614","RVH421_SKIN","skin","melanoma","skin","Skin","Metastasis","Intracranial","SKCM","Melanoma","Male","Other",28,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"240",1049,906792,"A2058","SIDS00067","SIDM00797","A2058","SIDP00052","ACH-000788","A2058_SKIN","skin","melanoma","skin","Skin","Metastasis","Lymph node","SKCM","Melanoma","Male","White",43,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"241",1200,908128,"Mewo","SIDS01013","SIDM00545","Mewo","SIDP00907","ACH-000987","MEWO_SKIN","skin","melanoma","skin","Skin","Metastasis","Lymph node","SKCM","Melanoma","Male","White",78,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"242",1285,909724,"SK-MEL-3","SIDS00367","SIDM01105","SK-MEL-3","SIDP00312","ACH-000423","SKMEL3_SKIN","skin","melanoma","skin","Skin","Metastasis","Lymph node","SKCM","Melanoma","Female","White",42,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"243",1286,909725,"SK-MEL-24","SIDS00366","SIDM01106","SK-MEL-24","SIDP00311","ACH-000822","SKMEL24_SKIN","skin","melanoma","skin","Skin","Metastasis","Lymph node","SKCM","Melanoma","Male","White",67,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"244",1368,910903,"RPMI-7951","SIDS00347","SIDM01087","RPMI-7951","SIDP00292","ACH-000348","RPMI7951_SKIN","skin","melanoma","skin","Skin","Metastasis","Lymph node","SKCM","Melanoma","Female","White",18,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"245",1009,905956,"SK-MEL-5","SIDS00857","SIDM00080","SK-MEL-5","SIDP00764","ACH-000730","SKMEL5_SKIN","skin","melanoma","skin","Skin","Metastasis","Lymph Node","SKCM","Melanoma","Female","White",24,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"246",1284,909723,"SK-MEL-1","SIDS00365","SIDM01107","SK-MEL-1","SIDP00310","ACH-000465","SKMEL1_SKIN","skin","melanoma","skin","Skin","Metastasis","Lymphatic system","SKCM","Melanoma","Male","White",29,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"247",546,1240125,"COLO-783","SIDS00489","SIDM00955","COLO-783","SIDP00426","ACH-000812","COLO783_SKIN","skin","melanoma","skin","Skin","Metastasis","Right Axillary lymph node","SKCM","Melanoma","Female","Unknown",48,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","N","Y"
"248",1008,905955,"SK-MEL-2","SIDS00855","SIDM00082","SK-MEL-2","SIDP00762","ACH-001190","SKMEL2_SKIN","skin","melanoma","skin","Skin","Metastasis","Skin","SKCM","Melanoma","Male","White",6,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"249",1050,906793,"A375","SIDS00069","SIDM00795","A375","SIDP00054","ACH-000219","A375_SKIN","skin","melanoma","skin","Skin","Tumour","Skin","SKCM","Melanoma","Female","Unknown",54,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"250",1141,907171,"IPC-298","SIDS00534","SIDM01059","IPC-298","SIDP00469","ACH-000915","IPC298_SKIN","skin","melanoma","skin","Skin","Tumour","Skin","SKCM","Melanoma","Female","Unknown",64,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"251",1380,910921,"A101D","SIDS00063","SIDM00801","A101D","SIDP00049","ACH-000008","A101D_SKIN","skin","melanoma","skin","Skin","Tumour","Skin","SKCM","Melanoma","Male","White",56,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"252",1133,907067,"HT-144","SIDS00169","SIDM00695","HT-144","SIDP00135","ACH-000322","HT144_SKIN","skin","melanoma","skin","Skin","Tumour","Subcutaneous tissue","SKCM","Melanoma","Male","White",29,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"253",551,1240130,"G-MEL","SIDS00808","SIDM00129","G-MEL","SIDP00721","ACH-002121","GMEL_SKIN","skin","melanoma","skin","Skin","Unknown","Unknown","SKCM","Melanoma","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"254",625,1240226,"WM278","SIDS00432","SIDM00975","WM278","SIDP00370","ACH-002206","WM278_SKIN","skin","melanoma","skin","Skin","Tumour","Unknown","SKCM","Melanoma","Female","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"255",629,1287706,"451Lu","SIDS00062","SIDM01240","451Lu","SIDP00048","ACH-001002","451LU_SKIN","skin","melanoma","skin","Skin","Metastasis","Unknown","SKCM","Melanoma","Male","Unknown",22,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"256",669,1298144,"Hs939-T","SIDS00164","SIDM00663","Hs-939-T","SIDP00130","ACH-000814","HS939T_SKIN","skin","melanoma","skin","Skin","Tumour","Unknown","SKCM","Melanoma","Female","White",24,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","N","N","Y"
"257",670,1298145,"Hs940-T","SIDS00165","SIDM00662","Hs-940-T","SIDP00131","ACH-000135","HS940T_FIBROBLAST","skin","melanoma","skin","Skin","Tumour","Unknown","SKCM","Melanoma","Male","White",57,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"258",677,1298160,"K2","SIDS00811","SIDM00126","K2","SIDP00724","ACH-002147","K2_SKIN","skin","melanoma","skin","Skin","Unknown","Unknown","SKCM","Melanoma","Unknown","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","N","Y"
"259",720,1299078,"WM1552C","SIDS00431","SIDM00976","WM1552C","SIDP00369","ACH-002205","WM1552C_SKIN","skin","melanoma","skin","Skin","Tumour","Unknown","SKCM","Melanoma","Male","Unknown",72,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"260",721,1299080,"WM35","SIDS00433","SIDM00974","WM35","SIDP00371","ACH-002207","WM35_SKIN","skin","melanoma","skin","Skin","Tumour","Unknown","SKCM","Melanoma","Female","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"261",722,1299081,"WM793B","SIDS00434","SIDM00973","WM793B","SIDP00372","ACH-000827","WM793_SKIN","skin","melanoma","skin","Skin","Metastasis","Unknown","SKCM","Melanoma","Male","Unknown",37,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"262",832,687448,"COLO-829","SIDS00108","SIDM00909","COLO-829","SIDP00086","ACH-000644","COLO829_SKIN","skin","melanoma","skin","Skin","Tumour","Unknown","SKCM","Melanoma","Male","White",45,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
